xxx_3650070268	A	A	A	A	A	A	A	A	A	A	A
69	在我的眼前，是湛蓝的天空，	在我的眼前，是湛藍的天空，	目の前には、青い空が広がり、	눈앞에는 푸른 하늘이 펼쳐지고,	My eyes gazed at a blue sky,						0
70	在我的鼻尖，萦绕少女发丝的香味，	在我的鼻尖，縈繞少女髮絲的香味，	鼻先には、少女の髪の香りが漂い、	소녀의 머리카락에서 나는 향기가 코끝을 자극하고,	my nose caught the scent of her hair,						0
71	在我的耳边，是她活泼又动人的呼吸，	在我的耳邊，是她活潑又動人的呼吸，	耳元には、彼女の愛らしい吐息が聞こえ、	그녀의 활기찬 호흡 소리가 귓가에 울려 퍼지며,	my ears heard her excited, stirring breath,						0
72	在我的口腔里，满是幸福滋味的香甜，	在我的口腔裡，滿是幸福滋味的香甜，	口の中には、幸せの甘さが広がり、	행복할 정도로 달콤한 맛이 입안을 가득 채웠다.	and my mouth watered with the sweet taste of happiness.						0
73	与我灵魂交织在一起的，是缠绵的誓言。	與我靈魂交織在一起的，是纏綿的誓言。	魂と交わっているのは、まとわりつく誓いだった。	나의 영혼과 얽혀있는 것은, 우리 사이를 잇고 있는 약속이었다.	It all intertwined with my soul to form a lingering vow.						0
74	辰星趴在我的背上，喂我吃着冰淇淋的时候，又轻声地开口了。	辰星趴在我的背上，餵我吃冰淇淋的時候，又輕聲地開口了。	辰星は私の背中にしがみつき、私にアイスクリームを食べさせていると、また呟いた。	수성은 나의 등 뒤에서 나에게 아이스크림을 먹여주며 말을 이어갔다.	Chenxing laid on my back, feeding me ice cream. She softly opened her mouth to speak.						0
75	郎君~	郎君~	あなた。	낭군님~	My Prince~						0
76	我还有很多没有体验，想要去体验的东西。	我還有很多沒有體驗，想要去體驗的東西。	体験していないことや、体験してみたいことがまだたくさんありますよ。	아직까지도 체험해 보지 못한 게 많고, 체험해 보고 싶은 게 정말 많아요.	There are a lot of things I've never done before that I want to try.						0
77	比如说？	比如說？	例えば？	예를 들면요?	Like what?						0
78	我想和郎君去帕特拉的金色神台。有人说那里是最接近天空的地方，可以看到世界的尽头，在那里许下的心愿能够得到天神的赐福。	我想和郎君去帕特拉的金色神台。有人說那裡是最接近天空的地方，可以看到世界的盡頭，在那裡許下的心願能夠得到天神的賜福。	パトラの黄金の祭壇に行ってみたいです。そこは空に一番近い場所で、世界の果てが見えるから、そこでお願い事をすると神様の祝福を受けられるそうです。	낭군님과 함께 파트라의 금빛 신의 제단에 가보고 싶어요. 그곳은 하늘과 가장 가까운 곳이라서 세상의 끝을 볼 수 있고, 그곳에서 소원을 빌면 신의 은총을 받을 수 있다고 들었거든요.	I want to go to the Golden Shrine in Patra with you. It's the closest you can get to the sky. You can see the end of the earth, and the gods will bless any wishes you make there.						0
79	我还想和郎君去菲洛索亚，那里有洁白的海岸线。白色的飞鸟会围绕海浪翻飞，在黄昏的时候高歌，传说听到它们高歌的恋人都会受到祝福。	我還想和郎君去菲洛索亞，那裡有潔白的海岸線。白色的飛鳥會圍繞著海浪翻飛，在黃昏的時候高歌，傳說聽到它們高歌的戀人都會受到祝福。	フィロゾアにも行ってみたいです。そこは真っ白な海岸線があって、白い鳥たちが飛び回り、夕暮れ時に歌うんです。その歌を聞いた恋人たちは祝福されるらしいんです。	필로시아에도 가고 싶어요. 그곳에는 새하얀 해안선이 있는데, 흰색 새들이 파도 주변을 날아다니며 해 질 무렵에 소리 내어 노래를 부르는데 연인들이 새들의 노래를 들으면 축복을 받을 수 있다고 해요.	And I want to go to Philossia together. There's a pure white coastline there. Birds soar around the water and sing at dusk. Apparently, their song blesses any lovers who hear it.						0
80	对了！我最想和郎君一起回趟朔州，沿着濯江出发，去到它的入海口。那是世界的最东方，可以比所有人更早看到太阳升起。我想和郎君一起沐浴最初的光。	對了！我最想和郎君一起回趟朔州，沿著濯江出發，去到它的入海口。那是世界的最東方，可以比所有人更早看到太陽升起。我想和郎君一起沐浴最初的光。	あと、一番してみたいのは、あなたと朔州に帰って、濯江を下って、河口まで行くことです。世界の最東端であるその場所で、誰よりも早く日の出を見て、一緒に最初の光を浴びたいです。	맞다! 삭주도 한번 가고 싶어요. 탁강을 따라 출발해서 바다로 흘러 들어가는 곳으로 향하는 거예요. 그곳은 세상의 최동단이고 그 어느 곳보다 일출을 빨리 볼 수 있죠. 낭군님과 함께 최초의 햇볕을 쬐고 싶어요.	Oh! Most of all, I want to go back to Shuozhou with you. We can follow the Zhuo River to the mouth, see the sunrise earlier than anyone, and bask in the first sunlight together.						0
81	有很多地方……很多传说，我都想和郎君一起去体验。	有很多地方……很多傳說，我都想和郎君一起去體驗。	たくさんの場所……たくさんの伝説を、あなたと一緒に体験したいです。	수많은 장소… 수많은 전설을 낭군님과 함께 체험하고 싶어요.	There are so many places... so many different legends I want to experience with you, My Prince.						0
82	我细细聆听她浪漫的畅想，将这一切的愿景都铭记在我的心中。	我細細聆聽她浪漫的暢想，將這一切的願景銘記在我的心中。	彼女のロマンチックな夢を静かに聞きながら、すべてを心に刻んだ。	난 그녀의 낭만이 가득한 이야기를 들으며, 그녀의 모든 소원을 마음속 깊이 새겨두었다.	I listened carefully to her romantic descriptions, holding all of the images in my heart.						0
83	辰星做了很扎实的功课啊。	辰星做了很紮實的功課啊。	辰星はしっかり下調べをしたんだな。	과제를 정말 열심히 준비했네요.	You've really been doing your homework, Chenxing.						0
84	那将是我与郎君共度的时光，当然……得好好准备。	那將是我與郎君共度的時光，當然……得好好準備。	あなたと過ごすためですから、もちろん……ちゃんと調べないといけません。	함께 할 추억들인데, 당연히… 열심히 준비해야죠.	It's our future, My Prince... Of course I need to be prepared.						0
85	看来我也得精心准备，作为给你的回应才行。	看來我也得精心準備，作為給你的回應才行。	君へのお返しとして、私も入念に準備しないとな。	그럼 저도 최대한 열심히 준비를 해서 보답을 해야겠네요.	Well, it sounds like I need to make some careful preparations to keep up with you.						0
86	嗯！	嗯！	はい！	네!	Right!						0
87	……能够被承载一生的感觉，真好。	……能夠被承載一輩子的感覺，真好。	……誰かに一生支えてもらえるのは、やっぱり素敵ですね。	…평생을 담을 수 있다니, 정말 좋네요.	...It's like you could carry me forever. It feels so nice.						0
88	什么？	什麼？	ん？	네?	What was that?						0
89	我说，	我說，	あのね。	그러니까,	I said,						0
90	郎君~	郎君~	あなた。	낭군님~	My Prince~						0
91	我最喜欢你了。	我最喜歡你了。	大好きです。	낭군님이 세상에서 제일 좋아요.	I really like you.						0
92	少女说着顿了顿，将脸蛋贴得离我更近一些。	少女說著頓了頓，將臉蛋貼得離我更近。	少し間を置き、辰星はさらに頬を私に近づけた。	소녀는 잠시 멈칫하더니, 얼굴을 나에게 더욱 가까이한다.	The girl paused, nuzzling her cheek closer to mine.						0
93	不过……一直说的话，会听厌吗？这种话。	不過……一直說的話，會聽厭嗎？這種話。	でも……こういうのを何回も繰り返すと、飽きませんか？	근데… 계속 말하면 질리지 않나요? 이런 말들이요.	But... if I keep saying it, will you get sick of hearing stuff like that?						0
94	要试试吗？	要試試嗎？	やってみるか？	한번 테스트해 볼까요?	Do you want some?						0
95	试试？	試試？	やってみる……というのは？	테스트요?	Try and see?						0
96	辰星，我喜欢你。	辰星，我喜歡你。	辰星、好きだよ。	수성, 좋아해요.	Chenxing, I like you.						0
97	我笑着凝望她的眸子，看着她的脸颊飞上浅浅的红晕。	我笑著凝望她的眸子，看著她的臉頰飛上淺淺的紅暈。	笑顔で彼女を見つめると、彼女の頬がほのかに赤く染まった。	난 웃으며 그녀의 눈동자와 붉어지는 그녀의 얼굴을 바라봤다.	I smiled, looking into her eyes as a faint blush graced her cheeks.						0
98	……果然是听不厌的。	……果然是聽不厭的。	……どうやら飽きはこないようですね。	…역시 안 질리네요.	...Yeah. I guess you can't really get sick of it.						0
99	我还想听一辈子。	我還想聽一輩子。	一生聞いていたいです。	한평생 듣고 싶어요.	I want to hear it for the rest of my life.						0
100	那我就说一辈子好了。	那我就說一輩子好了。	じゃあ、一生言ってあげる。	그럼 평생 말해줄게요.	Then I'll say it for the rest of our lives.						0
101	不知不觉，我们再次来到熟悉的广场。虽然已经隔着一段时间，但这里的一切似乎都与那天一般无二。	不知不覺，我們又來到熟悉的廣場。雖然已經隔著一段時間，但這裡的一切似乎都與那天一般無二。	いつの間にか、私たちはおなじみの広場に到着した。しばらく時間が経ったが、ここの景色はあの日とまったく変わっていなかった。	우리는 어느새 익숙한 광장에 도착했다. 시간이 많이 흘렀지만 이곳 풍경은 그날 풍경과 거의 흡사했다.	Before we knew it, we'd arrived at a familiar square. Even though it had been a while, everything looked the same as that day.						0
102	而格外巧合的是，我们再次撞见了在发传单的店员。	而格外巧合的是，我們再次撞見了在發傳單的店員。	そして、偶然にもまたあのときの店員に出会った。	게다가 그날 만났던 그 직원도 다시 한번 우연히 만나게 되었다.	And we just so happened to run into the same shop assistant handing out flyers again.						0
103	您们是……	您們是……	あなたたちは……	두 분은…	You two are...						0
104	突然，店员像是想到了什么，慢慢睁大眼睛。	突然，店員像是想到了什麼，慢慢睜大眼睛。	突然、店員は何かに気づいたようで、目を見開いた。	직원은 갑자기 무언가 떠오른 듯, 두 눈이 천천히 커졌다.	The shop assistant seemingly remembered something, widening her eyes.						0
105	我放下辰星，与她相视而笑。	我放下辰星，與她相視而笑。	私は辰星を背中から下ろすと、彼女と笑いあった。	난 수성을 내려놓으며, 그녀를 바라보며 미소를 지었다.	I put Chenxing down, smiling at her.						0
106	我们来领奖了。	我們來領獎了。	賞品を受け取りに来た。\n賞品を受け取りに来ました。	상품을 받으러 왔어요.	We're here to redeem our prize.						0
