xxx_427712804	A	A	A	A	A	A	A
108		0				妮塔打量着招财猫，轻轻拍了下它巨大的脑袋，然后将目光转向我。眼中爱意比先前更加炽热。	0
108_1		6	妮塔病号服			但我最爱的，永远都是分析员！	0
108_2		6	妮塔病号服			现在这么开心，也是因为分析员不仅耐心听我把心里话都说完，还愿意理解我的感受。	0
109		0				招财猫将阳光化作细碎的光点，散落在我们周围，轻轻映照着少女眼中那份难以掩饰的感动。	0
b-5	b-5	0					0
110	b-5-1	0				靠近妮塔	0
111		6	妮塔病号服			分析员？	0
112		0				我的手抚过她的脸，一边感受着她肌肤的柔软，一边缓缓滑至下巴，最后来到后颈。	0
113		0				轻轻向前一推，她就转而来到了我怀里，耳朵贴在了我的唇边。	0
b-1	b-1	0					0
114	b-1-1	0				爱这种事	0
b-2	b-2	0					0
115	b-2-1	0				可不能只说不做	0
116		0				没等她脸上的红晕扩散，我便咬住了她的下唇。	0
117		0				温热的气息穿透皮肤，我们肆意地在情欲的海洋中徜徉。	0
118		0				难舍难分时，口袋里传来一阵震动。我这才想起，身上还带着心率监测仪器的事。	0
119		0				仪器在我手中亮起，屏幕上清晰地显示着那个让我们屏息等待许久的数字——200bpm。	0
120		6	妮塔病号服			分析员，怎么了？	0
121		0				我将仪器举到她的面前，她的眼底闪过惊讶，呼吸也不自觉地紊乱起来。	0
122		0				很快，惊讶的神情融成浅浅笑意，温软的声音钻入我耳中。	0
123		6	妮塔病号服			真的……真的好喜欢分析员呀。	0
124		6	妮塔病号服			明明我拥有的东西已经足够多了，但分析员却还是源源不断地……	0
125		0				妮塔向前倾倒，撞入我的怀中。	0
126		0				因为姿势不稳，我被扑倒在地板上，仪器也从手中滑落，滚落到一角。	0
127		0				腰上的她，用大腿紧紧地贴住我，传递着炽热的温度。	0
128		0				房间里突然变得安静，只剩下仪器屏幕上数字变化的微弱滴答声。	0
129		0				200bpm，201bpm，202bpm，203bpm……	0
130		6				关心、陪伴、相信、理解……爱恋交织在一起，汇成燎原的焰，点燃了内心深处的渴望。	0
131		6				渴望继续填满她。	0
132		6				渴望看到她因为我而抵达那个极限。	0
b-3	b-3	0					0
133	b-3-1	0				调转位置	0
134		0	妮塔			啊！	0
135		0				没等妮塔反应过来，我已经将她笼在身下。	0
136		0				她的发丝散落在地板上，和呼吸一样凌乱，眸中闪烁着迷离与期待。	0
b-4	b-4	0					0
137	b-4-1	0				想给你更多更多	0
auto_137		0				在金色的光影中，理性的枷锁被一点点卸下，留下的只有相拥的本能。	0
138		0				不得不说，平时热爱锻炼的妮塔耐力惊人，就像一汪永不干涸的清泉。	0
139		0				在被欢愉数次冲刷，推向高处又送回后，一声满足的轻叹终于宣告周遭气氛归于平静。	0
140		0				在她睡着后，一场缺少“主角”的会议被临时召开。	0
141		4	研究员			妮塔的心率已经达到理论值，研发部门可以开展下一步工作了。	0
142		5	芙提雅驰掣			嗯……	0
143		0				芙提雅若有所思地点点头。	0
144		0	分析员			还是再等等吧。	0
145		4	研究员			再等等？分析员的意思是？	0
146		5	芙提雅驰掣			分析员的意思是，他已经掌握了影响妮塔心率的核心因素！我们可以跳出预设，去探索一个更完美的答案。	0
147		5	芙提雅驰掣			我这么解释没错吧？分析员~	0
148		0	分析员			嗯，没错。芙提雅总能很快就理解我的想法呢。	0
149		0				话音落下后，我渐渐陷入沉思。	0
150		0				还能给予妮塔些什么呢？	0
151		0				脑海中闪过各种可能性，一段过去的回忆悄然浮现。	0
152		0				温柔的阳光斜斜地透过窗户，桌前的少女一边念念叨叨，一边让手中的笔在纸上飞快游走。	0
153		9	妮塔病号服			和分析员一起任务的时候，我们遇到了……	0
154		0	分析员			写什么呢？这么认真？	0
155		6	妮塔病号服			嘿嘿~我正在尝试写<orange>日记</>呢！把开心的事都记录下来，就能随时回味了。	0
156		0	分析员			倒是个不错的想法。那妮塔的日记能给我看看吗？	0
157		6	妮塔病号服			当然可以啊，喏~分析员随便看。	0
158		0				少女没有一丝遮掩，直率地将日记翻开，举到我眼前。	0
159		0	分析员			咦？这剧情不太对啊，日记怎么能随便给别人看。	0
160		6	妮塔病号服			分析员又不是别人！当然想看就看啦！	0
161		6	妮塔病号服			而且记下的这些开心事，都跟分析员有关。分析员一边看，一边还能想起那些美好时刻，多好~	0
162		0				回忆如同一道微光，划过脑中的混沌，为万千思绪寻找到了一个出口。	0
163		0				还能给予妮塔些什么呢？	0
164		0				这个问题，或许得由“她”来亲自告诉我答案。	0
